time[ms],#packets last interval,#packets overall,overall avrg. packetsize [byte],overall sum packetsize [byte],overall thrp [Mb/s],thrp last interval [Mb/s]
1066500.0,0,168238,NaN,1.68043131E8,1.2605204388185656,NaN
1067000.0,0,168238,NaN,1.68043131E8,1.2599297544517338,NaN
1067500.0,0,168238,NaN,1.68043131E8,1.2593396234192038,NaN
1068000.0,0,168238,NaN,1.68043131E8,1.2587500449438203,NaN
1068500.0,0,168238,NaN,1.68043131E8,1.258161018249883,NaN
1069000.0,0,168238,NaN,1.68043131E8,1.2575725425631432,NaN
1069500.0,0,168238,NaN,1.68043131E8,1.2569846171107995,NaN
1070000.0,0,168238,NaN,1.68043131E8,1.2563972411214954,NaN
1070500.0,0,168238,NaN,1.68043131E8,1.2558104138253152,NaN
1071000.0,0,168238,NaN,1.68043131E8,1.2552241344537813,NaN
1071500.0,0,168238,NaN,1.68043131E8,1.2546384022398507,NaN
1072000.0,0,168238,NaN,1.68043131E8,1.2540532164179103,NaN
1072500.0,0,168238,NaN,1.68043131E8,1.2534685762237763,NaN
1073000.0,0,168238,NaN,1.68043131E8,1.2528844808946877,NaN
1073500.0,0,168238,NaN,1.68043131E8,1.252300929669306,NaN
1074000.0,0,168238,NaN,1.68043131E8,1.2517179217877095,NaN
1074500.0,0,168238,NaN,1.68043131E8,1.2511354564913915,NaN
1075000.0,0,168238,NaN,1.68043131E8,1.2505535330232558,NaN
1075500.0,0,168238,NaN,1.68043131E8,1.2499721506276151,NaN
1076000.0,0,168238,NaN,1.68043131E8,1.2493913085501858,NaN
1076500.0,0,168238,NaN,1.68043131E8,1.2488110060380861,NaN
1077000.0,0,168238,NaN,1.68043131E8,1.2482312423398327,NaN
1077500.0,0,168238,NaN,1.68043131E8,1.2476520167053362,NaN
1078000.0,0,168238,NaN,1.68043131E8,1.2470733283859,NaN
1078500.0,0,168238,NaN,1.68043131E8,1.246495176634214,NaN
1079000.0,0,168238,NaN,1.68043131E8,1.245917560704356,NaN
1079500.0,0,168238,NaN,1.68043131E8,1.245340479851783,NaN
1080000.0,0,168238,NaN,1.68043131E8,1.2447639333333334,NaN
1080500.0,0,168238,NaN,1.68043131E8,1.2441879204072188,NaN
1081000.0,0,168238,NaN,1.68043131E8,1.243612440333025,NaN
1081500.0,0,168238,NaN,1.68043131E8,1.2430374923717058,NaN
1082000.0,0,168238,NaN,1.68043131E8,1.2424630757855823,NaN
1082500.0,0,168238,NaN,1.68043131E8,1.2418891898383373,NaN
1083000.0,0,168238,NaN,1.68043131E8,1.2413158337950139,NaN
1083500.0,0,168238,NaN,1.68043131E8,1.240743006922012,NaN
1084000.0,0,168238,NaN,1.68043131E8,1.2401707084870848,NaN
1084500.0,0,168238,NaN,1.68043131E8,1.2395989377593362,NaN
1085000.0,0,168238,NaN,1.68043131E8,1.2390276940092166,NaN
1085500.0,0,168238,NaN,1.68043131E8,1.2384569765085214,NaN
1086000.0,0,168238,NaN,1.68043131E8,1.2378867845303865,NaN
1086500.0,0,168238,NaN,1.68043131E8,1.2373171173492867,NaN
1087000.0,0,168238,NaN,1.68043131E8,1.2367479742410303,NaN
1087500.0,0,168238,NaN,1.68043131E8,1.2361793544827586,NaN
1088000.0,0,168238,NaN,1.68043131E8,1.2356112573529412,NaN
1088500.0,0,168238,NaN,1.68043131E8,1.2350436821313735,NaN
1089000.0,0,168238,NaN,1.68043131E8,1.2344766280991735,NaN
1089500.0,0,168238,NaN,1.68043131E8,1.2339100945387793,NaN
1090000.0,0,168238,NaN,1.68043131E8,1.233344080733945,NaN
1090500.0,0,168238,NaN,1.68043131E8,1.2327785859697387,NaN
1091000.0,0,168238,NaN,1.68043131E8,1.2322136095325391,NaN
1091500.0,0,168238,NaN,1.68043131E8,1.231649150710032,NaN
1092000.0,0,168238,NaN,1.68043131E8,1.2310852087912088,NaN
1092500.0,0,168238,NaN,1.68043131E8,1.2305217830663617,NaN
1093000.0,0,168238,NaN,1.68043131E8,1.2299588728270814,NaN
1093500.0,0,168238,NaN,1.68043131E8,1.2293964773662551,NaN
1094000.0,0,168238,NaN,1.68043131E8,1.2288345959780622,NaN
1094500.0,0,168238,NaN,1.68043131E8,1.2282732279579716,NaN
1095000.0,0,168238,NaN,1.68043131E8,1.22771237260274,NaN
1095500.0,0,168238,NaN,1.68043131E8,1.2271520292104061,NaN
1096000.0,0,168238,NaN,1.68043131E8,1.226592197080292,NaN
1096500.0,0,168238,NaN,1.68043131E8,1.2260328755129957,NaN
1097000.0,0,168238,NaN,1.68043131E8,1.225474063810392,NaN
1097500.0,0,168238,NaN,1.68043131E8,1.2249157612756265,NaN
1098000.0,0,168238,NaN,1.68043131E8,1.2243579672131146,NaN
