time[ms],#packets last interval,#packets overall,overall avrg. packetsize [byte],overall sum packetsize [byte],overall offer [Mb/s],offer last interval [Mb/s]
884500.0,253,643458,1010.098814229249,6.43060298E8,5.816260468061051,4.08888
885000.0,284,643742,1047.4647887323943,6.43357778E8,5.815663529943502,4.7596799999999995
885500.0,263,644005,1001.6501901140684,6.43621212E8,5.814759679277245,4.214944
886000.0,265,644270,982.7169811320755,6.43881632E8,5.813829634311512,4.16672
886500.0,272,644542,1091.3014705882354,6.44178466E8,5.813229247602933,4.749344
887000.0,225,644767,985.6177777777777,6.4440023E8,5.811952468996617,3.548224
887500.0,242,645009,1055.185950413223,6.44655585E8,5.81097992112676,4.08568
888000.0,235,645244,974.9531914893618,6.44884699E8,5.809772063063063,3.665824
888500.0,228,645472,1022.3377192982456,6.45117792E8,5.80860139110861,3.729488
889000.0,245,645717,994.795918367347,6.45361517E8,5.807527712035995,3.8996
889500.0,244,645961,952.4098360655738,6.45593905E8,5.806353277121979,3.718208
890000.0,249,646210,966.9477911646586,6.45834675E8,5.8052555056179775,3.85232
890500.0,247,646457,1002.3805668016195,6.46082263E8,5.804220217855137,3.961408
891000.0,274,646731,931.6021897810219,6.46337522E8,5.8032549674523,4.084144
891500.0,236,646967,1011.6906779661017,6.46576281E8,5.802142734716769,3.820144
892000.0,252,647219,995.1706349206349,6.46827064E8,5.801139587443946,4.012528
892500.0,256,647475,1024.70703125,6.47089389E8,5.8002410218487395,4.1972
893000.0,283,647758,1002.3922261484099,6.47373066E8,5.799534745800672,4.538832
893500.0,249,648007,934.9196787148594,6.47605861E8,5.798373685506435,3.72472
894000.0,255,648262,1002.0,6.47861371E8,5.797417190156599,4.08816
894500.0,264,648526,953.6931818181819,6.48113146E8,5.796428359977641,4.0284
895000.0,261,648787,937.7662835249042,6.48357903E8,5.795377903910614,3.916112
895500.0,225,649012,959.44,6.48573777E8,5.794070592964824,3.453984
896000.0,210,649222,975.6190476190476,6.48778657E8,5.792666580357142,3.27808
896500.0,231,649453,937.1774891774892,6.48995145E8,5.7913677189068595,3.463808
897000.0,257,649710,1055.5175097276265,6.49266413E8,5.790558867335563,4.340288
897500.0,236,649946,956.728813559322,6.49492201E8,5.789345524233983,3.612608
898000.0,247,650193,1006.4696356275304,6.49740799E8,5.788336739420935,3.977568
898500.0,262,650455,1034.648854961832,6.50011877E8,5.787529233166389,4.337248
899000.0,247,650702,993.3117408906883,6.50257225E8,5.786493659621802,3.925568
899500.0,264,650966,1008.3712121212121,6.50523435E8,5.785644780433573,4.25936
900000.0,253,651219,1013.695652173913,6.507799E8,5.784710222222222,4.10344
900500.0,244,651463,1063.467213114754,6.51039386E8,5.7838035402554135,4.151776
901000.0,257,651720,997.2373540856031,6.51295676E8,5.782869487236404,4.10064
901500.0,266,651986,974.0037593984962,6.51554761E8,5.781961273433167,4.14536
902000.0,262,652248,1022.8053435114504,6.51822736E8,5.781132913525499,4.2876
902500.0,276,652524,980.8478260869565,6.5209345E8,5.7803297506925215,4.331424
903000.0,268,652792,1073.884328358209,6.52381251E8,5.779678857142858,4.604816
903500.0,244,653036,962.7049180327868,6.52616151E8,5.778560274488101,3.7584
904000.0,254,653290,1048.4212598425197,6.5288245E8,5.7777207964601764,4.260784
904500.0,234,653524,975.3931623931624,6.53110692E8,5.776545645107794,3.651872
905000.0,253,653777,957.4189723320158,6.53352919E8,5.775495416574586,3.875632
905500.0,249,654026,961.4578313253012,6.53592322E8,5.774421398122583,3.830448
906000.0,281,654307,998.6832740213523,6.53872952E8,5.773712600441502,4.49008
906500.0,263,654570,1024.3422053231939,6.54142354E8,5.772905495863211,4.310432
907000.0,235,654805,925.6425531914894,6.5435988E8,5.771641719955898,3.480416
907500.0,269,655074,954.3977695167287,6.54616613E8,5.770724963085399,4.107728
908000.0,264,655338,995.9204545454545,6.54879536E8,5.769863753303965,4.206768
908500.0,250,655588,995.34,6.55128371E8,5.768879436433682,3.98136
909000.0,247,655835,1013.591093117409,6.55378728E8,5.767909597359735,4.005712
909500.0,253,656088,1034.7826086956522,6.55640528E8,5.7670414777350185,4.1888000000000005
910000.0,266,656354,954.921052631579,6.55894537E8,5.766105819780219,4.064144
910500.0,239,656593,997.2510460251046,6.5613288E8,5.765033542009885,3.813488
911000.0,242,656835,1032.690082644628,6.56382791E8,5.764064026344675,3.998576
911500.0,245,657080,1071.604081632653,6.56645334E8,5.763206442128359,4.200688
912000.0,255,657335,1050.0627450980392,6.569131E8,5.762395614035087,4.284256
912500.0,239,657574,1005.36820083682,6.57153383E8,5.761344727671233,3.844528
913000.0,234,657808,1011.8547008547008,6.57390157E8,5.760264245345016,3.788384
913500.0,229,658037,995.6419213973799,6.57618159E8,5.7591081247947455,3.648032
914000.0,246,658283,984.1219512195122,6.57860253E8,5.7580766126914655,3.873504
914500.0,260,658543,992.2076923076924,6.58118227E8,5.757185145981411,4.127584
915000.0,256,658799,958.23828125,6.58363536E8,5.756183921311475,3.924944
915500.0,231,659030,955.5367965367965,6.58584265E8,5.75496900054615,3.531664
916000.0,246,659276,948.8983739837398,6.58817694E8,5.753866323144106,3.734864
916500.0,247,659523,964.255060728745,6.59055865E8,5.752806241134752,3.810736
917000.0,238,659761,990.3529411764706,6.59291569E8,5.751725792802618,3.771264
917500.0,265,660026,998.177358490566,6.59556086E8,5.750897752588556,4.232272
918000.0,239,660265,1071.4644351464435,6.59812166E8,5.749997089324618,4.09728
918500.0,239,660504,1002.2719665271967,6.60051709E8,5.748953371801852,3.832688
919000.0,263,660767,1012.6844106463878,6.60318045E8,5.748144026115343,4.261376
919500.0,273,661040,945.5897435897435,6.60576191E8,5.747264304513323,4.130336
920000.0,241,661281,1012.8630705394191,6.60820291E8,5.746263399999999,3.9056
920500.0,262,661543,945.9732824427481,6.61068136E8,5.745296130363932,3.96552
921000.0,269,661812,1000.639405204461,6.61337308E8,5.744515161780673,4.306752
921500.0,237,662049,971.0632911392405,6.6156745E8,5.743396201844818,3.682272
922000.0,295,662344,984.2372881355932,6.618578E8,5.742800867678959,4.6456
922500.0,248,662592,1024.8870967741937,6.62111972E8,5.741892440108401,4.066752
923000.0,266,662858,1004.5827067669173,6.62379191E8,5.741098080173348,4.275504
923500.0,218,663076,1032.5091743119267,6.62604278E8,5.739939603681647,3.6013920000000006
924000.0,249,663325,1024.4658634538152,6.6285937E8,5.739042164502164,4.081472
924500.0,253,663578,1009.5770750988142,6.63114793E8,5.738148560302867,4.086768
925000.0,236,663814,1031.2966101694915,6.63358179E8,5.737151818378378,3.894176
925500.0,228,664042,1015.9605263157895,6.63589818E8,5.736054612641815,3.706224
926000.0,256,664298,1025.1953125,6.63852268E8,5.735224777537797,4.1992
926500.0,241,664539,993.1452282157676,6.64091616E8,5.734196360496492,3.829568
927000.0,243,664782,981.0905349794239,6.64330021E8,5.733160914778857,3.81448
927500.0,279,665061,946.910394265233,6.64594209E8,5.732348972506738,4.227008
928000.0,268,665329,955.5037313432836,6.64850284E8,5.731467965517242,4.0972
928500.0,244,665573,976.110655737705,6.65088455E8,5.730433645665051,3.810736
